latitude,longitude,brightness
13.18639,101.37953,345.53
13.18707,101.38332,336.02
13.20344,99.02503,339.47
13.20383,99.00063,337.65
13.20777,103.27385,338.8
13.20807,99.02324,333.94
13.20854,98.99917,330.98
13.24274,99.02265,338.92
13.24362,99.0274,332.9
13.24742,99.63949,330.15
13.24743,99.02116,342.32
13.2484,99.02644,332.38
13.2537,104.60818,336.63
13.25424,99.13828,343.46
13.25795,104.78918,344.89
13.25973,99.14135,345.16
13.27848,104.89541,335.4
13.28411,104.88666,336.16
13.286,102.36342,338.63
13.2976,104.86099,345.21
13.30103,104.86043,340.83
13.30247,104.61206,344.04
13.30927,104.89022,337.15
13.32116,103.41386,332.31
13.3286,104.48776,345.64
13.3349,101.24593,332.01
13.38497,104.49828,334.87
13.40102,104.98344,339.84
13.40365,104.95596,339.23
13.40404,104.37413,341.67
13.40425,104.95972,340.6
13.407,104.45839,337.58
13.40706,104.95539,343.56
13.40766,104.95915,338.58
13.41526,104.98492,344.47
13.41739,103.13989,341.68
13.42698,102.82598,337.92
13.46717,103.12792,337.51
13.48423,104.35343,339.84
13.48489,103.34158,340.43
13.48782,103.33658,335.76
13.48853,103.34094,349.1
13.49476,103.44695,341.69
13.49658,103.32269,339.35
13.49662,103.32157,338.67
13.49805,103.33031,345.29
13.49806,103.33141,339.14
13.50354,103.1857,338.75
13.52151,104.56045,330.56
13.53649,99.62472,332.48
13.55828,99.66583,344.78
13.56885,100.94648,330.29
13.57305,100.94571,330.56
13.58439,99.01079,340.81
13.58527,99.01556,367
13.58929,99.01059,344.27
13.58972,99.01302,350.56
13.59012,99.0151,335.41
13.60128,100.72026,339.08
13.60988,104.61264,346.28
13.61426,104.63954,336.15
13.61536,100.70071,330.97
13.6154,103.78772,335.34
13.62471,103.03697,349
13.63306,104.16109,335.55
13.63338,98.55124,334.96
13.63371,104.16139,335.99
13.63407,98.54824,331.9
13.63564,104.17707,346.26
13.63576,99.12566,350.5
13.63636,104.17734,344.23
13.64045,99.12453,338.84
13.64474,102.94182,339.44
13.67057,104.36279,349.19
13.68151,101.46495,334.01
13.69373,101.31724,332.15
13.70385,104.69143,338.81
13.70446,104.15343,335
13.70511,104.15742,337.37
13.71318,102.37089,334.18
13.7206,101.31185,348.89
13.73028,104.15721,336.73
13.75274,99.17724,341
13.7533,99.17422,343.36
13.75661,101.32455,339.08
13.7568,104.25498,337.1
13.75727,101.32828,354.6
13.75746,104.255,339.09
13.76248,101.26155,337.73
13.76658,101.2608,339.18
13.78219,100.92767,343.51
13.78346,104.17298,336.33
13.7851,98.95052,335.3
13.78826,104.18036,338.76
13.79736,104.23599,337.52
13.80531,98.20315,338.72
13.80692,104.25063,339.3
13.82235,101.4613,331.87
13.83864,101.43518,334.79
13.83913,99.21752,343.48
13.84224,99.01658,330.48
13.84947,104.55626,337.59
13.85146,100.92806,340.55
13.85179,101.27213,331.97
13.86372,98.94734,338.39
13.86408,99.08035,353.45
13.86412,101.14888,331.37
